village;slug;code_postal;coordonnees;region;country;year
Garessio;garessio;;44.204842872444,8.0148160457611;Piemonte;Italia;
Garbagna;garbagna;;44.782710,8.998894;Piemonte;Italia;
Chianale;chianale;;44.621693,7.032402;Piemonte;Italia;
Etroubles;etroubles;;45.821574,7.2304814;"Valle d´Aosta";Italia;
"Boville Ernica";"boville ernica";;41.6427619,13.4732421;Lazio;Italia;
Campodimele;campodimele;;41.38724,13.53218;Lazio;Italia;
Canterano;canterano;;41.942418,13.037999;Lazio;Italia;
Caprarola;caprarola;;42.327458,12.23721;Lazio;Italia;
"Castel di Tora";"castel di tora";;42.21583,12.96376;Lazio;Italia;
"Castel Gandolfo";"castel gandolfo";;41.74997,12.64851;Lazio;Italia;
"Civita di Bagnoregio";"civita di bagnoregio";;42.62708,12.09062;Lazio;Italia;
"Collalto Sabino";"collalto sabino";;42.13698,13.04848;Lazio;Italia;
"Monte S.Giovanni Campano";"monte s.giovanni campano";;41.640150546805,13.51530790329;Lazio;Italia;
Orvinio;orvinio;;42.131776094697,12.939169406891;Lazio;Italia;
Sperlonga;sperlonga;;41.25792,13.43436;Lazio;Italia;
Subiaco;subiaco;;41.924456,13.09615;Lazio;Italia;
"Torre Alfina";"torre alfina";;42.755126811735,11.944477558136;Lazio;Italia;
Abbateggio;abbateggio;;42.2245154,14.0136461;Abruzzo;Italia;
"Anversa degli Abruzzi";"anversa degli abruzzi";;41.995,13.80367;Abruzzo;Italia;
Bugnara;bugnara;;42.021840739812,13.861752748489;Abruzzo;Italia;
"Caramanico Terme";"caramanico terme";;42.162513,14.008584;Abruzzo;Italia;
"Castel del Monte";"castel del monte";;42.36452,13.72579;Abruzzo;Italia;
Castelli;castelli;;42.48887,13.71153;Abruzzo;Italia;
"Città Sant´Angelo";"città sant´angelo";;42.5192407,14.0601666;Abruzzo;Italia;
"Civitella del Tronto";"civitella del tronto";;42.772329482072,13.667507171631;Abruzzo;Italia;
Introdacqua;introdacqua;;42.0085,13.89901;Abruzzo;Italia;
Navelli;navelli;;42.23828819112,13.728092908859;Abruzzo;Italia;
Opi;opi;;41.7809706,13.8297423;Abruzzo;Italia;
Pacentro;pacentro;;42.05146,13.99293;Abruzzo;Italia;
Penne;penne;;42.4541256,13.9277597;Abruzzo;Italia;
"Pettorano sul Gizio";"pettorano sul gizio";;41.97562,13.95992;Abruzzo;Italia;
Pietracamela;pietracamela;;42.52436,13.55382;Abruzzo;Italia;
Pretoro;pretoro;;42.217125,14.139578;Abruzzo;Italia;
"Rocca San Giovanni";"rocca san giovanni";;42.248105164893,14.462749958038;Abruzzo;Italia;
"S. Stefano di Sessanio";"s. stefano di sessanio";;42.34408,13.64319;Abruzzo;Italia;
Scanno;scanno;;41.90175,13.88275;Abruzzo;Italia;
Tagliacozzo;tagliacozzo;;42.0688,13.25697;Abruzzo;Italia;
Villalago;villalago;;41.935974145384,13.83593916893;Abruzzo;Italia;
Fornelli;fornelli;;41.606683,14.139783;Molise;Italia;
Frosolone;frosolone;;41.599494,14.448173;Molise;Italia;
Oratino;oratino;;41.58462598697,14.585176706314;Molise;Italia;
Sepino;sepino;;41.40778,14.618747;Molise;Italia;
Albori;albori;;40.67048,14.70838;Campania;Italia;
Atrani;atrani;;40.63792,14.60386;Campania;Italia;
Castellabate;castellabate;;40.28313,14.95886;Campania;Italia;
"Conca dei Marini borgo di Marina di Conca";"conca dei marini borgo di marina di conca";;40.616656,14.574344;Campania;Italia;
Furore;furore;;40.61885,14.55254;Campania;Italia;
Monteverde;monteverde;;41.001359,15.535265;Campania;Italia;
Nusco;nusco;;40.88728,15.08485;Campania;Italia;
"Sant´Agata de´Goti";"sant´agata de´goti";;41.090123,14.503105;Campania;Italia;
Zungoli;zungoli;;41.070342,15.200721;Campania;Italia;
Alberona;alberona;;41.43387,15.12409;Puglia;Italia;
Bovino;bovino;;41.25089,15.34237;Puglia;Italia;
Cisternino;cisternino;;40.74307,17.42536;Puglia;Italia;
Locorotondo;locorotondo;;40.75585,17.32629;Puglia;Italia;
Otranto;otranto;;40.14803,18.48575;Puglia;Italia;
Pietramontecorvino;pietramontecorvino;;41.54269,15.12879;Puglia;Italia;
Presicce;presicce;;39.902132,18.261802;Puglia;Italia;
"Roseto Valfortore";"roseto valfortore";;41.371076221917,15.094903707504;Puglia;Italia;
Specchia;specchia;;39.9383,18.29843;Puglia;Italia;
"Vico del Gargano";"vico del gargano";;41.894434983277,15.957984924316;Puglia;Italia;
Acerenza;acerenza;;40.79251,15.9377;Basilicata;Italia;
Castelmezzano;castelmezzano;;40.5292,16.04505;Basilicata;Italia;
"Guardia Perticara";"guardia perticara";;40.358407764827,16.100023984909;Basilicata;Italia;
Pietrapertosa;pietrapertosa;;40.5193813,16.0629292;Basilicata;Italia;
Venosa;venosa;;40.96241,15.8157;Basilicata;Italia;
Viggianello;viggianello;;39.973897,16.083294;Basilicata;Italia;
Aieta;aieta;;39.928728,15.823567;Calabria;Italia;
Altomonte;altomonte;;39.6967,16.125386953354;Calabria;Italia;
Bova;bova;;37.99625,15.93291;Calabria;Italia;
"Chianalea di Scilla";"chianalea di scilla";;38.2535,15.715;Calabria;Italia;
Civita;civita;;39.840177,16.313095;Calabria;Italia;
"Fiumefreddo Bruzio";"fiumefreddo bruzio";;39.235,16.06906;Calabria;Italia;
Gerace;gerace;;38.27131,16.21976;Calabria;Italia;
"Morano Calabro";"morano calabro";;39.84279,16.1374;Calabria;Italia;
"Santa Severina";"santa severina";;39.14764,16.91569;Calabria;Italia;
Stilo;stilo;;38.47812,16.46926;Calabria;Italia;
Castelmola;castelmola;;37.8591,15.27794;Sicilia;Italia;
"Castiglione di Sicilia";"castiglione di sicilia";;37.891654,15.119247;Sicilia;Italia;
Castroreale;castroreale;;38.100569,15.212202;Sicilia;Italia;
Cefalù;cefalù;;38.03952,14.02193;Sicilia;Italia;
"Erice Ospite Onorario 2014/2015";"erice ospite onorario 2014/2015";;38.038468,12.586048;Sicilia;Italia;
Ferla;ferla;;37.118555,14.940934;Sicilia;Italia;
Gangi;gangi;;37.795065,14.2045713;Sicilia;Italia;
"Geraci Siculo";"geraci siculo";;37.85732,14.1542;Sicilia;Italia;
"Montalbano Elicona";"montalbano elicona";;38.0254,15.01722;Sicilia;Italia;
"Monterosso Almo";"monterosso almo";;37.089042,14.762596;Sicilia;Italia;
"Novara di Sicilia";"novara di sicilia";;38.01499,15.1292;Sicilia;Italia;
"Palazzolo Acreide";"palazzolo acreide";;37.061970,14.904204;Sicilia;Italia;
"Petralia Soprana";"petralia soprana";;37.796460,14.108502;Sicilia;Italia;
"Sambuca di Sicilia";"sambuca di sicilia";;37.648015,13.110999;Sicilia;Italia;
"San Marco d´Alunzio";"san marco d´alunzio";;38.072546520678,14.700189828873;Sicilia;Italia;
Savoca;savoca;;37.9539754,15.3404584;Sicilia;Italia;
Sperlinga;sperlinga;;37.766677,14.3508074;Sicilia;Italia;
Sutera;sutera;;37.527766,13.731855;Sicilia;Italia;
Atzara;atzara;;40.010787,9.073105;Sardegna;Italia;
Bosa;bosa;;40.297358480725,8.4996092319489;Sardegna;Italia;
Carloforte;carloforte;;39.145988,8.305553;Sardegna;Italia;
Castelsardo;castelsardo;;40.91283,8.71315;Sardegna;Italia;
Crupet;crupet;;50.3507246,4.9685315;;Belgique;
Celles;celles;;50.2298284,5.01543;;Belgique;
Chardeneux;chardeneux;;50.37182,5.35951;;Belgique;
Clermont-sur-Berwinne;clermont-sur-berwinne;;50.666236,5.8817619;;Belgique;
Fagnolle;fagnolle;;50.10493,4.56083;;Belgique;
Falaën;falaen;;50.2855873,4.7957727;;Belgique;
Gros-Fays;gros-fays;;49.8704212,4.9831444;;Belgique;
Laforêt;laforet;;49.8533323,4.9120261;;Belgique;
Lompret;lompret;;50.0723775,4.3830032;;Belgique;
Mélin;melin;;50.74271,4.84285;;Belgique;
Mozet;mozet;;50.4469403,5.0046676;;Belgique;
Nobressart;nobressart;;49.7399967,5.7178818;;Belgique;
Ny;ny;;50.284525,5.480682;;Belgique;
Olne;olne;;50.5900502,5.7466036;;Belgique;
Ragnies;ragnies;;50.3061069,4.2690998;;Belgique;
Sohier;sohier;;50.06833,5.07;;Belgique;
Soiron;soiron;;50.5931291,5.7835057;;Belgique;
Sosoye;sosoye;;50.3017611,4.7783031;;Belgique;
Soulme;soulme;;50.18873,4.73735;;Belgique;
Thon-Samson;thon-samson;;50.4633535,5.0145871;;Belgique;
Torgny;torgny;;49.5080762,5.4740405;;Belgique;
Vierves-sur-Viroin;vierves-sur-viroin;;50.0802842,4.635318;;Belgique;
Wéris;weris;;50.32612,5.53048;;Belgique;
Aubechies;aubechies;;50.567,3.667;;Belgique;
Totsukawa;totsukawa;;33.983333,135.8;Kansai;Japan;2010
Soni;soni;;34.5166,136.1166;Kansai;Japan;2009
Ojiro;ojiro;;35.455,134.535;Kansai;Japan;2012
Wazuka;wazuka;;34.47,135.55;Kansai;Japan;2013
Ine;ine;;35.39,135.17;Kansai;Japan;2008
Shirakawa;shirakawa;;36.270677,136.90278;Chūbu;Japan;2006
Maze;maze;;35.8,137.25;Chūbu;Japan;2007
Higashishirakawa;higashishirakawa;;35.65,137.3166;Chūbu;Japan;2011
Matsuzaki;matsuzaki;;34.753056,138.778889;Chūbu;Japan;2013
Takayama;takayama;;36.3666,138.3666;Chūbu;Japan;2010
Ōshika;oshika;;35.578194,138.034;Chūbu;Japan;2005
Ogawa;ogawa;;36.6166,137.9666;Chūbu;Japan;2009
Nakagawa;nakagawa;;35.633,137.95;Chūbu;Japan;2008
Nagiso;nagiso;;35.603611,137.608889;Chūbu;Japan;2008
Kiso;kiso;;35.8425,137.691667;Chūbu;Japan;2006
Ikeda;ikeda;;36.421389,137.874722;Chūbu;Japan;2009
Hayakawa;hayakawa;;35.412778,138.363056;Chūbu;Japan;2009
Dōshi;doshi;;35.533333,139.033333;Chūbu;Japan;2012
Shōwa;showa;;36.633,139.05;Kantō;Japan;2009
Nakanojō;nakanojo;;36.59,138.841111;Kantō;Japan;2009
Nakagawa;nakagawa;;36.738333,140.171389;Kantō;Japan;2013
Ōtama;otama;;37.534444,140.371111;Tōhoku;Japan;2014
Mishima;mishima;;37.470278,139.644444;Tōhoku;Japan;2012
Kitashiobara;kitashiobara;;37.655833,139.937778;Tōhoku;Japan;2010
Iitate;iitate;;37.679167,140.735278;Tōhoku;Japan;2010
Ōkura;okura;;38.7,140.233333;Tōhoku;Japan;2009
Iide;iide;;38.045833,139.9875;Tōhoku;Japan;2005
Kosaka;kosaka;;40.327778,140.746944;Tōhoku;Japan;2009
Higashinaruse;higashinaruse;;39.3166,140.633;Tōhoku;Japan;2009
Tsurui;tsurui;;43.233333,144.316667;Hokkaidō;Japan;2008
Shibetsu;shibetsu;;43.55,141.9166;Hokkaidō;Japan;2007
Kyōgoku;kyogoku;;42.85,150.8833;Hokkaidō;Japan;2008
Kuromatsunai;kuromatsunai;;42.667806,140.307639;Hokkaidō;Japan;2011
Biei;biei;;43.588333,142.467222;Hokkaidō;Japan;2005
Akaigawa;akaigawa;;43.083472,140.813639;Hokkaidō;Japan;2011
Yoshino;yoshino;;34.396111,135.857778;Kansai;Japan;2012
Shinjō;shinjo;;35.1833,133.5666;Chūgoku;Japan;2009
Chizu;chizu;;35.265075,134.226638;Chūgoku;Japan;2010
Kamikatsu;kamikatsu;;33.888889,134.401944;Shikoku;Japan;2008
Kamijima;kamijima;;34.2575,133.204444;Shikoku;Japan;2009
Motoyama;motoyama;;33.756944,133.591667;Shikoku;Japan;2011
Umaji;umaji;;33.55,134.05;Shikoku;Japan;2008
Yame;yame;;33.2,130.55;Kyūshū;Japan;2009
Tōhō;toho;;33.4,130.8666;Kyūshū;Japan;2012
Ojika;ojika;;33.201079,129.060032;Kyūshū;Japan;2009
Kuma;kuma;;32.25,130.65;Kyūshū;Japan;2013
Minamioguni;minamioguni;;33.083333,131.083333;Kyūshū;Japan;2005
Takamori;takamori;;32.816667,131.116667;Kyūshū;Japan;2013
Tsukahara;tsukahara;;33.183333,131.433333;Kyūshū;Japan;2011
Aya;aya;;32,131.25;Kyūshū;Japan;2009
Shiiba;shiiba;;32.46639,131.1575;Kyūshū;Japan;2014
Takaharu;takaharu;;31.917,131;Kyūshū;Japan;2006
Kikai;kikai;;28.316944,129.94;Kyūshū;Japan;2009
Tarama;tarama;;24.669333,124.701583;Okinawa;Japan;2010
